filename,MOS,std,height,width,framerate
sf8_25fps.yuv,39.1088,8.8315,432,768,25
sf9_25fps.yuv,32.6002,7.571,432,768,25
sf10_25fps.yuv,44.0164,9.5158,432,768,25
sf11_25fps.yuv,54.9423,8.8703,432,768,25
sf12_25fps.yuv,57.1497,10.3586,432,768,25
sf13_25fps.yuv,40.9999,10.2129,432,768,25
sf14_25fps.yuv,44.6477,9.6876,432,768,25
sf15_25fps.yuv,49.2215,8.2303,432,768,25
sf16_25fps.yuv,53.7003,8.3839,432,768,25
bs2_25fps.yuv,68.9412,13.2694,432,768,25
bs3_25fps.yuv,52.9363,10.9429,432,768,25
bs4_25fps.yuv,51.0109,11.6969,432,768,25
bs5_25fps.yuv,55.9066,12.9653,432,768,25
bs6_25fps.yuv,61.7965,8.9395,432,768,25
bs7_25fps.yuv,45.9273,12.2075,432,768,25
bs8_25fps.yuv,40.9576,10.0565,432,768,25
bs9_25fps.yuv,31.9421,10.0953,432,768,25
bs10_25fps.yuv,36.6396,10.2083,432,768,25
bs11_25fps.yuv,38.6448,9.1071,432,768,25
bs12_25fps.yuv,52.1844,10.8366,432,768,25
bs13_25fps.yuv,32.7252,11.601,432,768,25
bs14_25fps.yuv,43.9984,9.654,432,768,25
bs15_25fps.yuv,50.509,8.9686,432,768,25
bs16_25fps.yuv,53.4364,11.3882,432,768,25
sh2_50fps.yuv,81.1601,8.8839,432,768,50
sh3_50fps.yuv,70.5494,7.0154,432,768,50
sh4_50fps.yuv,54.9174,10.3442,432,768,50
sh5_50fps.yuv,49.635,9.8661,432,768,50
sh6_50fps.yuv,55.5307,8.4316,432,768,50
sh7_50fps.yuv,61.2837,9.8106,432,768,50
sh8_50fps.yuv,46.2254,8.0034,432,768,50
sh9_50fps.yuv,36.244,8.7969,432,768,50
sh10_50fps.yuv,40.8004,8.8023,432,768,50
sh11_50fps.yuv,51.6153,10.4552,432,768,50
sh12_50fps.yuv,66.3166,10.0913,432,768,50
sh13_50fps.yuv,37.0212,7.4451,432,768,50
sh14_50fps.yuv,44.0813,9.4971,432,768,50
sh15_50fps.yuv,57.5757,6.4381,432,768,50
sh16_50fps.yuv,62.0745,6.239,432,768,50
mc2_50fps.yuv,78.3431,9.9876,432,768,50
mc3_50fps.yuv,69.2258,8.0969,432,768,50
mc4_50fps.yuv,59.5299,9.8755,432,768,50
mc5_50fps.yuv,57.8482,10.2606,432,768,50
mc6_50fps.yuv,73.3075,9.079,432,768,50
mc7_50fps.yuv,58.5392,11.3208,432,768,50
mc8_50fps.yuv,54.0963,10.0428,432,768,50
mc9_50fps.yuv,47.3711,10.8012,432,768,50
mc10_50fps.yuv,48.7705,7.7892,432,768,50
mc11_50fps.yuv,57.6788,9.7494,432,768,50
mc12_50fps.yuv,67.8232,7.4454,432,768,50
mc13_50fps.yuv,30.9426,8.0339,432,768,50
mc14_50fps.yuv,40.5326,9.8009,432,768,50
mc15_50fps.yuv,52.5435,9.924,432,768,50
mc16_50fps.yuv,64.8173,9.5076,432,768,50
pr2_50fps.yuv,61.3882,10.2155,432,768,50
pr3_50fps.yuv,66.3322,11.1123,432,768,50
pr4_50fps.yuv,45.4702,7.6892,432,768,50
pr5_50fps.yuv,45.315,8.6377,432,768,50
pr6_50fps.yuv,55.324,6.177,432,768,50
pr7_50fps.yuv,56.173,8.704,432,768,50
pr8_50fps.yuv,44.6086,10.3585,432,768,50
pr9_50fps.yuv,39.8067,8.2885,432,768,50
pr10_50fps.yuv,53.7598,9.0671,432,768,50
pr11_50fps.yuv,59.8921,10.6386,432,768,50
pr12_50fps.yuv,77.2518,8.7931,432,768,50
pr13_50fps.yuv,39.7105,9.5447,432,768,50
pr14_50fps.yuv,46.8271,10.3513,432,768,50
pr15_50fps.yuv,54.4239,11.2077,432,768,50
pr16_50fps.yuv,61.8235,11.1164,432,768,50
