vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Animation_1080P-58d3,Animation,1080,148,4.243,4.395,3.965,4.024,0.556,0.465,0.503,0.548,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_1080P-5dd8,Animation,1080,115,3.958,3.946,4.006,4.233,0.562,0.552,0.62,0.494,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_1080P-5f3b,Animation,1080,134,4.243,4.462,4.382,4.532,0.719,0.5,0.601,0.452,1920,1080,yuv420p,30,NaN,NaN,NaN
Animation_1080P-646f,Animation,1080,143,3.376,3.248,3.228,3.383,0.709,0.698,0.736,0.761,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_1080P-66ba,Animation,1080,118,3.081,2.893,2.936,3.148,0.653,0.677,0.66,0.675,1440,1080,yuv420p,25,NaN,NaN,NaN
Animation_1080P-6a33,Animation,1080,143,2.052,1.868,1.755,1.919,1.075,1.037,1.003,1.035,1920,1080,yuv420p,23.976023976024,NaN,NaN,NaN
Animation_1080P-6ec0,Animation,1080,134,4.124,3.923,3.829,4.222,0.568,0.527,0.541,0.598,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_1080P-7f27,Animation,1080,144,4.195,4.385,4.411,4.256,0.644,0.496,0.482,0.608,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_2160P-41dc,Animation,2160,116,3.512,3.061,3.334,3.669,0.743,0.713,0.76,0.695,3840,2160,yuv420p,15,NaN,NaN,NaN
Animation_2160P-6f3b,Animation,2160,128,4.082,3.73,3.687,3.804,0.612,0.586,0.615,0.791,3032,2304,yuv420p,24,NaN,NaN,NaN
Animation_360P-08c9,Animation,360,112,3.652,3.606,3.726,3.622,0.456,0.476,0.514,0.552,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-188f,Animation,360,125,3.702,3.44,3.697,3.664,0.458,0.564,0.52,0.485,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_360P-24d4,Animation,360,121,3.435,3.292,3.397,3.42,0.516,0.594,0.562,0.559,480,360,yuv420p,24,NaN,NaN,NaN
Animation_360P-3e40,Animation,360,140,2.353,2.239,1.896,1.962,0.928,0.649,0.747,0.81,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-3e52,Animation,360,115,3.651,3.707,3.523,3.461,0.508,0.485,0.538,0.538,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_360P-47cc,Animation,360,133,3.282,3.306,3.333,3.09,0.671,0.613,0.655,0.682,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-4b4c,Animation,360,130,3.003,3.126,3.002,3.046,0.816,0.612,0.649,0.66,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-4edc,Animation,360,106,3.682,3.627,3.699,3.689,0.597,0.563,0.513,0.582,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-5712,Animation,360,122,3.552,3.659,3.658,3.555,0.533,0.622,0.621,0.632,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-5de0,Animation,360,117,3.429,3.307,3.451,3.431,0.523,0.577,0.543,0.551,640,360,yuv420p,30,NaN,NaN,NaN
Animation_360P-631c,Animation,360,108,2.236,2.056,2.019,1.891,0.689,0.574,0.56,0.598,640,360,yuv420p,15,NaN,NaN,NaN
Animation_360P-6355,Animation,360,114,3.126,2.535,2.699,2.85,0.604,0.601,0.703,0.563,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_360P-69e0,Animation,360,120,3.382,3.232,3.304,2.901,0.599,0.733,0.755,0.784,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_360P-7856,Animation,360,109,2.751,2.647,2.669,2.386,0.684,0.694,0.714,0.678,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_360P-794f,Animation,360,124,3.362,3.304,3.236,3.338,0.641,0.561,0.586,0.55,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-0194,Animation,480,127,3.097,2.96,2.965,2.918,0.64,0.616,0.683,0.642,640,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-046c,Animation,480,119,3.15,3.022,3.123,3.075,0.719,0.598,0.587,0.581,640,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-0529,Animation,480,121,2.205,2.409,2.286,2.365,0.746,0.773,0.619,0.67,640,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-073c,Animation,480,107,3.407,3.123,3.113,2.953,0.65,0.717,0.693,0.755,640,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-087e,Animation,480,126,3.525,3.432,3.232,3.353,0.523,0.565,0.72,0.601,720,480,yuv420p,15.415,NaN,NaN,NaN
Animation_480P-08a5,Animation,480,104,3.42,3.19,3.535,3.52,0.625,0.668,0.662,0.564,640,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-0d04,Animation,480,135,3.111,3.096,3.021,2.862,0.702,0.729,0.725,0.76,856,480,yuv420p,30,NaN,NaN,NaN
Animation_480P-1da7,Animation,480,106,3.183,2.912,2.959,3.228,0.679,0.744,0.752,0.726,928,480,yuv420p,9.39,NaN,NaN,NaN
Animation_480P-3281,Animation,480,123,3.211,3.01,3.067,3.032,0.623,0.624,0.692,0.624,640,480,rgb24,24,NaN,NaN,NaN
Animation_480P-35ee,Animation,480,120,3.29,3.313,3.174,1.7,0.644,0.608,0.552,1.054,720,480,yuv420p,30,NaN,NaN,NaN
Animation_480P-3e06,Animation,480,123,2.994,2.818,3.331,3.297,0.598,0.566,0.587,0.603,640,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-3fdf,Animation,480,106,3.465,3.414,3.245,3.2,0.545,0.612,0.657,0.617,640,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-4b80,Animation,480,117,3.618,3.466,3.458,3.468,0.483,0.528,0.516,0.48,640,480,yuv420p,30,NaN,NaN,NaN
Animation_480P-4b86,Animation,480,131,3.495,3.32,3.246,3.257,0.535,0.547,0.601,0.668,720,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-4e36,Animation,480,116,3.303,3.4,3.389,3.356,0.649,0.556,0.536,0.597,640,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-52af,Animation,480,133,3.656,3.64,3.619,3.78,0.503,0.458,0.49,0.528,854,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-66c0,Animation,480,125,3.453,3.537,3.504,3.373,0.538,0.606,0.517,0.56,720,480,yuv420p,29.905,NaN,NaN,NaN
Animation_480P-6e23,Animation,480,114,3.731,3.654,3.499,3.589,0.504,0.566,0.7,0.627,854,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-6ef6,Animation,480,115,3.607,3.507,3.302,3.247,0.489,0.522,0.513,0.556,640,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-6ff4,Animation,480,115,3.29,3.31,3.237,2.946,0.675,0.712,0.64,0.838,854,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-70d4,Animation,480,120,3.848,3.9,3.793,3.624,0.524,0.469,0.462,0.514,720,480,yuv420p,30,NaN,NaN,NaN
Animation_480P-7114,Animation,480,120,3.653,3.602,3.561,3.641,0.46,0.442,0.448,0.46,854,480,yuv420p,25,NaN,NaN,NaN
Animation_480P-791b,Animation,480,137,3.286,3.142,3.229,3.139,0.591,0.641,0.673,0.674,640,480,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_480P-7a31,Animation,480,117,3.487,3.28,3.341,3.438,0.524,0.612,0.744,0.53,640,480,yuv420p,8,NaN,NaN,NaN
Animation_480P-7ef2,Animation,480,119,3.164,3.123,3.126,3.481,0.587,0.674,0.664,0.566,854,480,yuv420p,25,NaN,NaN,NaN
Animation_720P-0116,Animation,720,135,4.054,4.074,4.037,4.11,0.62,0.607,0.605,0.594,1280,720,yuv420p,24,NaN,NaN,NaN
Animation_720P-01b3,Animation,720,112,3.638,3.46,3.291,3.278,0.589,0.554,0.701,0.678,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-06a6,Animation,720,123,3.942,4.141,4.128,4.169,0.552,0.598,0.555,0.558,1280,720,yuv420p,30,NaN,NaN,NaN
Animation_720P-0acc,Animation,720,122,3.876,3.771,3.881,3.886,0.501,0.597,0.521,0.5,1280,720,yuv420p,23.976023976024,NaN,NaN,NaN
Animation_720P-0c8f,Animation,720,114,3.409,3.396,3.645,3.607,0.519,0.495,0.452,0.483,1280,720,rgb24,24,NaN,NaN,NaN
Animation_720P-13b7,Animation,720,136,4.318,4.095,4.19,3.898,0.468,0.576,0.501,0.545,1280,720,yuv420p,30,NaN,NaN,NaN
Animation_720P-1a6d,Animation,720,129,4.283,4.285,4.251,4.261,0.526,0.507,0.542,0.574,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-2525,Animation,720,106,3.73,3.719,3.696,3.804,0.498,0.43,0.496,0.496,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-26d2,Animation,720,132,3.14,3.043,3.102,3.284,0.627,0.615,0.654,0.574,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_720P-2abf,Animation,720,127,3.615,3.521,3.366,3.488,0.686,0.615,0.744,0.697,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-31c9,Animation,720,129,4.351,4.195,4.207,4.188,0.56,0.532,0.604,0.598,1280,720,yuv420p,24,NaN,NaN,NaN
Animation_720P-3adc,Animation,720,118,3.575,3.404,3.467,3.463,0.482,0.59,0.558,0.589,1280,720,yuv420p,10,NaN,NaN,NaN
Animation_720P-412a,Animation,720,145,4.249,4.278,4.244,4.129,0.599,0.675,0.628,0.653,1280,720,yuv420p,23.976023976024,NaN,NaN,NaN
Animation_720P-41cf,Animation,720,131,3.862,3.89,3.926,4.077,0.464,0.58,0.553,0.624,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-41d6,Animation,720,141,4.148,4.176,4.195,4.269,0.619,0.62,0.607,0.542,960,720,yuv420p,30,NaN,NaN,NaN
Animation_720P-4268,Animation,720,123,3.846,3.682,3.732,3.793,0.537,0.568,0.491,0.543,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_720P-431c,Animation,720,135,4.396,4.41,4.084,4.206,0.49,0.457,0.507,0.432,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-4b17,Animation,720,128,4.074,4.111,4.163,4.119,0.461,0.396,0.594,0.557,1280,720,yuv420p,30,NaN,NaN,NaN
Animation_720P-57d9,Animation,720,121,3.522,2.751,3.572,3.533,0.513,0.657,0.527,0.492,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
Animation_720P-5bfc,Animation,720,129,4.421,4.431,4.276,4.499,0.467,0.451,0.599,0.438,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-620f,Animation,720,127,4.522,4.64,4.641,4.501,0.477,0.375,0.385,0.433,1280,720,yuv420p,25,NaN,NaN,NaN
Animation_720P-6372,Animation,720,124,4.422,4.221,3.832,4.282,0.477,0.615,0.564,0.507,1280,720,yuv420p,30,NaN,NaN,NaN
Animation_720P-79ee,Animation,720,152,2.197,1.968,2.203,2.166,0.911,0.645,0.609,0.604,1280,720,yuv420p,24,NaN,NaN,NaN
Animation_720P-7b29,Animation,720,125,3.862,3.776,3.687,3.804,0.477,0.595,0.507,0.48,1280,720,yuv420p,24,NaN,NaN,NaN
Animation_720P-7e7d,Animation,720,114,3.589,3.365,3.403,3.482,0.63,0.784,0.819,0.774,1280,720,yuv420p,30,NaN,NaN,NaN
Animation_720P-7ff2,Animation,720,136,4.124,4.156,3.866,3.904,0.627,0.616,0.581,0.581,1280,720,yuv420p,30,NaN,NaN,NaN
CoverSong_1080P-0188,CoverSong,1080,138,2.383,2.205,2.224,2.284,1.096,1.122,1.079,1.088,1920,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-033d,CoverSong,1080,127,4.433,4.358,4.472,4.412,0.468,0.482,0.431,0.495,1920,1080,yuv420p,30,NaN,NaN,NaN
CoverSong_1080P-0a86,CoverSong,1080,137,4.228,4.258,4.041,4.085,0.447,0.451,0.516,0.571,1920,1080,yuv420p,30,NaN,NaN,NaN
CoverSong_1080P-0cdc,CoverSong,1080,135,2.741,2.45,2.553,2.539,0.695,0.593,0.608,0.592,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_1080P-0f33,CoverSong,1080,120,3.221,3.198,3.078,3.059,0.494,0.468,0.652,0.632,1920,1080,yuv420p,30,NaN,NaN,NaN
CoverSong_1080P-0f3a,CoverSong,1080,130,4.358,4.4,4.347,4.385,0.478,0.415,0.493,0.431,1440,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-1963,CoverSong,1080,126,3.882,3.778,3.612,3.502,0.539,0.536,0.543,0.618,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_1080P-1b08,CoverSong,1080,103,3.812,3.75,3.71,3.71,0.481,0.432,0.465,0.479,1920,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-1b0c,CoverSong,1080,129,3.763,3.795,3.714,3.801,0.496,0.449,0.459,0.431,1920,1080,yuv420p,29.724,NaN,NaN,NaN
CoverSong_1080P-2207,CoverSong,1080,119,3.675,3.611,4.086,4.079,0.511,0.514,0.602,0.59,1440,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-237f,CoverSong,1080,132,3.893,3.709,3.613,4.134,0.538,0.511,0.489,0.637,1920,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-3409,CoverSong,1080,133,4.331,4.283,4.289,4.345,0.489,0.477,0.551,0.486,1920,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-3499,CoverSong,1080,105,4.193,4.228,4.273,4.307,0.386,0.52,0.476,0.456,1920,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_1080P-3aac,CoverSong,1080,112,3.381,3.524,3.407,3.441,0.489,0.545,0.498,0.507,1920,1080,yuv420p,24,NaN,NaN,NaN
CoverSong_1080P-3df8,CoverSong,1080,124,3.827,3.727,3.751,3.877,0.507,0.469,0.425,0.444,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_1080P-4bad,CoverSong,1080,136,4.298,4.321,4.379,4.364,0.458,0.503,0.458,0.478,1920,1080,yuv420p,60,NaN,NaN,NaN
CoverSong_1080P-5430,CoverSong,1080,137,3.969,3.728,4.046,4.19,0.477,0.479,0.582,0.558,1920,1080,yuv422p10le,29.97002997003,NaN,NaN,NaN
CoverSong_1080P-5456,CoverSong,1080,112,3.736,3.829,3.778,3.762,0.445,0.51,0.541,0.523,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_1080P-5cae,CoverSong,1080,117,3.209,3.291,3.267,3.267,0.662,0.544,0.445,0.53,1920,1080,yuv420p,30,NaN,NaN,NaN
CoverSong_1080P-5e69,CoverSong,1080,124,3.29,3.46,3.433,3.42,0.507,0.564,0.499,0.481,1920,1080,yuv420p,30,NaN,NaN,NaN
CoverSong_1080P-5f92,CoverSong,1080,104,4.043,4.273,4.245,4.196,0.489,0.458,0.484,0.485,1920,1080,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_1080P-6f26,CoverSong,1080,137,4.288,4.328,4.151,4.116,0.487,0.488,0.591,0.584,1440,1080,yuv420p,25,NaN,NaN,NaN
CoverSong_360P-0a9d,CoverSong,360,130,2.538,2.284,2.218,2.224,0.752,0.521,0.461,0.466,640,360,yuv420p,8.761,NaN,NaN,NaN
CoverSong_360P-0aa2,CoverSong,360,123,2.511,2.368,2.26,2.306,0.572,0.495,0.459,0.432,640,360,yuv420p,30,NaN,NaN,NaN
CoverSong_360P-11f9,CoverSong,360,120,2.79,2.607,2.754,2.647,0.55,0.542,0.56,0.58,640,360,yuv420p,16.522,NaN,NaN,NaN
CoverSong_360P-130a,CoverSong,360,115,3.449,3.473,3.396,3.386,0.509,0.528,0.517,0.427,640,360,yuv420p,29,NaN,NaN,NaN
CoverSong_360P-13d2,CoverSong,360,104,2.578,2.441,2.404,2.414,0.667,0.506,0.563,0.511,640,360,yuv420p,25,NaN,NaN,NaN
CoverSong_360P-14b9,CoverSong,360,114,2.633,2.536,2.536,2.568,0.578,0.516,0.446,0.504,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_360P-1b2b,CoverSong,360,116,3.409,3.159,3.252,3.063,0.571,0.498,0.521,0.628,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_360P-2146,CoverSong,360,128,2.273,2.254,2.256,2.277,0.676,0.454,0.452,0.516,640,360,yuv420p,15.879,NaN,NaN,NaN
CoverSong_360P-2b4d,CoverSong,360,125,2.796,2.737,2.821,2.706,0.533,0.478,0.589,0.469,480,360,yuv420p,30,NaN,NaN,NaN
CoverSong_360P-3218,CoverSong,360,129,2.427,2.281,2.361,2.429,0.712,0.597,0.557,0.545,640,360,yuv420p,21,NaN,NaN,NaN
CoverSong_360P-4add,CoverSong,360,128,2.855,2.649,2.761,2.657,0.621,0.515,0.529,0.5,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_360P-53a6,CoverSong,360,127,3.235,3.255,3.189,3.023,0.506,0.528,0.555,0.668,640,360,yuv420p,30,NaN,NaN,NaN
CoverSong_360P-59d1,CoverSong,360,126,2.828,2.421,2.437,2.42,0.667,0.448,0.552,0.517,640,360,yuv420p,30,NaN,NaN,NaN
CoverSong_360P-5a24,CoverSong,360,114,2.789,2.675,2.856,2.942,0.656,0.538,0.568,0.615,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_360P-5d20,CoverSong,360,119,2.943,2.757,2.718,2.708,0.642,0.595,0.502,0.602,480,360,yuv420p,30,NaN,NaN,NaN
CoverSong_360P-67ec,CoverSong,360,117,2.404,2.211,2.794,2.942,0.581,0.55,0.6,0.566,640,360,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_360P-69ef,CoverSong,360,118,3.145,3.033,3.218,3.011,0.609,0.582,0.507,0.585,480,360,yuv420p,30,NaN,NaN,NaN
CoverSong_360P-6d6a,CoverSong,360,104,3.273,3.24,3.194,3.317,0.58,0.478,0.447,0.537,640,360,yuv420p,14.758,NaN,NaN,NaN
CoverSong_360P-6da7,CoverSong,360,120,2.763,2.75,2.655,2.648,0.61,0.524,0.466,0.514,640,360,yuv420p,30,NaN,NaN,NaN
CoverSong_480P-0170,CoverSong,480,109,3.118,2.915,2.763,2.844,0.569,0.665,0.578,0.627,640,480,yuv420p,15.11,NaN,NaN,NaN
CoverSong_480P-1019,CoverSong,480,115,3.815,3.509,3.692,3.523,0.43,0.442,0.481,0.451,640,480,yuv420p,25,NaN,NaN,NaN
CoverSong_480P-1109,CoverSong,480,114,2.826,2.762,2.573,2.271,0.614,0.607,0.563,0.584,640,480,yuv420p,25,NaN,NaN,NaN
CoverSong_480P-2142,CoverSong,480,119,3.25,3.232,3.203,3.152,0.532,0.53,0.483,0.66,854,480,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_480P-2207,CoverSong,480,125,2.934,2.935,2.931,2.945,0.782,0.729,0.737,0.751,640,480,yuv420p,30,NaN,NaN,NaN
CoverSong_480P-2711,CoverSong,480,138,2.514,2.085,2.655,2.782,0.698,0.692,0.613,0.56,854,480,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_480P-2d2c,CoverSong,480,123,3.837,3.743,3.692,3.631,0.485,0.451,0.427,0.447,640,480,yuv420p,30,NaN,NaN,NaN
CoverSong_480P-3076,CoverSong,480,127,1.71,1.505,1.529,1.524,0.779,0.519,0.59,0.607,640,480,yuv420p,29.8710010319917,NaN,NaN,NaN
CoverSong_480P-35e1,CoverSong,480,104,3.608,3.437,3.527,3.428,0.522,0.515,0.559,0.496,640,480,yuv420p,30,NaN,NaN,NaN
CoverSong_480P-3e4b,CoverSong,480,132,2.877,2.609,2.609,2.621,0.694,0.668,0.641,0.752,640,480,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_480P-3e92,CoverSong,480,139,4.235,4.277,4.174,4.259,0.35,0.457,0.526,0.456,640,480,yuv420p,50,NaN,NaN,NaN
CoverSong_480P-3f3b,CoverSong,480,120,3.027,2.575,2.467,2.658,0.657,0.489,0.483,0.485,640,480,yuv420p,30,NaN,NaN,NaN
CoverSong_480P-41a5,CoverSong,480,112,3.27,3.309,3.264,3.392,0.456,0.518,0.557,0.425,640,480,yuv420p,16.457,NaN,NaN,NaN
CoverSong_480P-4d34,CoverSong,480,113,2.677,2.498,2.526,2.479,0.67,0.424,0.485,0.503,640,480,yuv420p,29.917,NaN,NaN,NaN
CoverSong_480P-53f4,CoverSong,480,118,3.169,3.153,3.122,3.153,0.483,0.499,0.464,0.539,640,480,yuv422p,30,NaN,NaN,NaN
CoverSong_480P-59f2,CoverSong,480,121,3.418,3.404,3.342,3.508,0.517,0.546,0.533,0.482,720,480,yuv420p,10.965,NaN,NaN,NaN
CoverSong_480P-5b62,CoverSong,480,135,3.056,2.874,2.866,2.889,0.617,0.597,0.599,0.6,640,480,yuyv422,24.71,NaN,NaN,NaN
CoverSong_480P-60a6,CoverSong,480,113,2.369,2.629,2.661,2.715,0.457,0.593,0.69,0.629,640,480,yuv420p,29.619,NaN,NaN,NaN
CoverSong_480P-64d0,CoverSong,480,131,3.917,3.859,3.833,3.832,0.471,0.527,0.519,0.431,640,480,yuv420p,25,NaN,NaN,NaN
CoverSong_480P-6c3e,CoverSong,480,115,2.502,2.034,1.93,2.011,0.763,0.687,0.548,0.622,720,480,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_480P-6c50,CoverSong,480,107,2.729,2.895,2.814,2.73,0.538,0.586,0.617,0.568,640,480,yuv422p,30,NaN,NaN,NaN
CoverSong_480P-7443,CoverSong,480,115,3.65,3.518,3.556,3.594,0.531,0.482,0.553,0.519,640,480,yuv420p,30,NaN,NaN,NaN
CoverSong_480P-7f6d,CoverSong,480,131,3.048,3.019,2.921,2.96,0.619,0.503,0.612,0.577,854,480,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-014c,CoverSong,720,120,2.618,2.359,2.387,2.473,0.66,0.493,0.616,0.62,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-01a1,CoverSong,720,122,3.713,3.547,3.544,3.542,0.512,0.475,0.439,0.518,1280,720,yuv420p,30,NaN,NaN,NaN
CoverSong_720P-0239,CoverSong,720,112,2.52,2.595,2.479,2.432,0.6,0.646,0.538,0.576,1280,720,yuv420p,30,NaN,NaN,NaN
CoverSong_720P-05d6,CoverSong,720,114,3.744,3.644,3.516,3.358,0.424,0.502,0.569,0.595,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-10f1,CoverSong,720,118,2.805,2.939,2.772,2.532,0.787,0.793,0.864,1.088,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-1393,CoverSong,720,116,4.059,3.88,3.879,3.846,0.427,0.468,0.482,0.478,1280,720,yuv420p,30,NaN,NaN,NaN
CoverSong_720P-1928,CoverSong,720,124,3.423,3.312,3.242,3.23,0.521,0.46,0.497,0.539,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-2d05,CoverSong,720,119,3.224,3.087,2.996,3.393,0.643,0.61,0.655,0.537,1280,720,yuv420p,25,NaN,NaN,NaN
CoverSong_720P-3261,CoverSong,720,115,3.942,3.799,3.529,3.685,0.475,0.509,0.486,0.445,1280,720,yuv420p,25,NaN,NaN,NaN
CoverSong_720P-3dca,CoverSong,720,114,3.412,2.907,3.28,3.534,0.502,0.655,0.55,0.465,1280,720,yuv420p,24,NaN,NaN,NaN
CoverSong_720P-4006,CoverSong,720,118,3.414,3.397,3.376,3.427,0.534,0.506,0.537,0.47,1280,720,yuv420p,25,NaN,NaN,NaN
CoverSong_720P-449f,CoverSong,720,108,3.496,3.532,3.477,3.403,0.525,0.573,0.514,0.475,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-5689,CoverSong,720,133,2.317,2.656,2.493,2.426,1.027,0.918,1.117,0.981,960,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-5ba2,CoverSong,720,128,2.834,2.871,2.792,2.9,0.605,0.634,0.558,0.561,1280,720,yuv420p,29.97002997003,NaN,NaN,NaN
CoverSong_720P-60d3,CoverSong,720,134,2.991,2.794,2.788,2.8,0.577,0.492,0.462,0.471,1280,720,yuv420p,30.12,NaN,NaN,NaN
